,price,Furnishing,Bathroom,Balcony,bhk,locality,City
62,140000,Furnished,4,2,4 BHK Apartment ," Kasturi Legacy, Baner ",Pune
63,280000,Furnished,4,3,4 BHK Apartment ," Supreme Esteban, Meera Nagar, Koregaon Park ",Pune
64,"16,000",Unfurnished,2,1,2 BHK Apartment ," Vishrantwadi, Airport Road ",Pune
65,"90,000",Unfurnished,4,2,4 BHK Villa ," Diamond Park, Wakad ",Pune
66,120000,Furnished,4,2,4 BHK Apartment ," Kasturi Legacy, Baner ",Pune
67,"70,000",Furnished,3,2,3 BHK Apartment ," Forest County, Kharadi ",Pune
68,"32,000",Unfurnished,2,1,2 BHK Apartment ," Gulmohar City, Kharadi ",Pune
69,"75,000",Furnished,2,2,2 BHK Apartment ," Clover Acropolis, Viman Nagar ",Pune
70,"60,000",Unfurnished,3,2,4 BHK Apartment ," Belmac Residences, Wadgaon Sheri ",Pune
71,"35,000",Unfurnished,2,1,2 BHK Apartment ," Royal Majestic, Rahatani ",Pune
72,"18,000",Unfurnished,2,2,1 BHK Apartment ," Bon Vivant, Keshav Nagar Mundhwa ",Pune
73,"17,000",Unfurnished,2,3,2 BHK Apartment , anushree Aurelia koyate wasti punawale ,Pune
74,"17,500",Unfurnished,2,1,2 BHK Apartment , Kalubai Nagar Wagholi ,Pune
75,"6,000",Furnished,1,1,Studio Apartment ," Dreams Sankalp, Yashwant nagar, Bakori road,Wagholi ",Pune
76,"50,000",Furnished,2,1,2 BHK Apartment , Joggers Park ,Pune
77,100000,Furnished,5,2,4 BHK Apartment ," Kasturi Epitome, Wakad ",Pune
78,"14,000",Semi-Furnished,2,0,2 BHK Apartment , Katraj Kondhwa Road ,Pune
79,"11,000",Semi-Furnished,2,1,2 BHK Apartment ," Grassland, Sinhgad Road ",Pune
80,"14,000",Unfurnished,1,1,1 BHK Apartment ," Venkateshwara Aprtments, Wakad ",Pune
81,"21,000",Semi-Furnished,2,1,2 BHK Apartment ," Shree Manibhadra Wakad Centre, Wakad ",Pune
82,"27,000",Unfurnished,2,2,2 BHK Apartment ," Basant Bahar Cooperative Housing Society, Pashan ",Pune
83,"15,000",Unfurnished,2,2,2 BHK Apartment ," Madhav Nilay, Dhayari Phata Road ",Pune
84,250000,Semi-Furnished,6,3,4 BHK Villa , Baner ,Pune
85,"15,000",Semi-Furnished,2,2,2 BHK Apartment ," Gulmohar Park Apartment, Abasaheb Raikar Nagar ",Pune
86,"14,000",Semi-Furnished,1,0,2 BHKHouse , Katraj Kondhwa Road ,Pune
87,"33,000",Semi-Furnished,3,1,3 BHK Apartment ," KBD Palladion, Balewadi Phata, Baner ",Pune
88,"17,000",Unfurnished,1,1,1 BHK Apartment ," Joyville Hinjawadi, Hinjawadi ",Pune
89,160000,Unfurnished,5,2,4 BHK Apartment ," Amanora Gateway Towers, Amanora Park Town ",Pune
90,"14,000",Unfurnished,2,1,2 BHK Apartment , Chikhali Pimpri Chinchwad ,Pune
91,"39,500",Unfurnished,2,1,2 BHK Apartment ," Kumar Prospera, Hadapsar ",Pune
92,"40,000",Furnished,3,0,3 BHK Apartment , Gultekadi ,Pune
93,"15,000",Semi-Furnished,1,0,1 BHK Builder Floor , Bibwewadi ,Pune
94,"24,000",Unfurnished,3,2,3 BHK Apartment , Bhukum ,Pune
95,"45,000",Unfurnished,5,6,5 BHKHouse , Lohgaon Wagholi Road ,Pune
96,"72,000",Semi-Furnished,4,1,4 BHK Apartment ," Buena Vista, Pashan Sus Road ",Pune
97,"40,000",Semi-Furnished,4,0,3 BHKHouse , Wagholi ,Pune
98,"50,000",Furnished,2,2,2 BHK Apartment ," Shiv Windmill Village, Bavdhan ",Pune
99,"14,000",Semi-Furnished,2,2,2 BHK Apartment , Satara Road ,Pune
100,300000,Unfurnished,7,2,6 BHK Apartment ," Castel Royale Excellente, Bhoslenagar Ashok Nagar ",Pune
101,"26,000",Unfurnished,3,1,3 BHK Villa ," Sun Planet III, Sinhgad Road ",Pune
