price,Furnishing,Bathroom,Balcony,locality,bhk,city
55000,Furnished,3,3," Sant Sunder Dass Apartment, Dwarka Sector 12 ",3 BHK Apartment  ,New Delhi
40000,Semi-Furnished,4,5," Pragya Apartments, Dwarka Sector 2 ",3 BHK Apartment  ,New Delhi
100000,Semi-Furnished,3,2, Greater Kailash Enclave 2 ,3 BHK Builder Floor  ,New Delhi
16000,Furnished,1,0," Adchini Block C, Adchini ",3 BHK  House  ,New Delhi
28000,Semi-Furnished,2,1, Pitampura ,3 BHK Builder Floor  ,New Delhi
28000,Furnished,2,0, Dwarka Sector 7 ,2 BHK Builder Floor  ,New Delhi
85000,Semi-Furnished,4,2, Paschim Vihar ,4 BHK Builder Floor  ,New Delhi
45000,Unfurnished,3,2, Naraina Vihar ,3 BHK Builder Floor  ,New Delhi
50000,Semi-Furnished,3,0," Sidharth Enclave, Kilokri, Ring Road ",3 BHK Apartment  ,New Delhi
22000,Semi-Furnished,2,2," DDA Rainbow Apartments, Dwarka Sector 12 ",2 BHK Apartment  ,New Delhi
38000,Unfurnished,3,3," Palm Green Apartment, Dwarka ",4 BHK Apartment  ,New Delhi
25000,Semi-Furnished,2,2, Chhattarpur Enclave ,3 BHK Builder Floor  ,New Delhi
55000,Unfurnished,3,1," Indraprastha Enclave, Dwarka Sector 17 ",3 BHK Builder Floor  ,New Delhi
42000,Semi-Furnished,4,5," Ashoka Enclave Apartment, Dwarka Sector 11 ",5 BHK Apartment  ,New Delhi
50000,Semi-Furnished,3,0," DDA Narmada Apartment, Vasant Kunj ",3 BHK Apartment  ,New Delhi
130000,Semi-Furnished,4,0, Saket ,3 BHK  House  ,New Delhi
14000,Unfurnished,2,1," Rajpur Khurd Extension, Rajpur ",2 BHK Builder Floor  ,New Delhi
28000,Semi-Furnished,2,1, Pitampura ,3 BHK Builder Floor  ,New Delhi
6500,Unfurnished,1,1, Rohini Sector 19 ,1 BHK Apartment  ,New Delhi
250000,Semi-Furnished,2,2, Jor Bagh ,3 BHK  House  ,New Delhi
12500,Semi-Furnished,1,1, Dwarka Sector 23 ,1 BHK Apartment  ,New Delhi
32500,Semi-Furnished,3,2, Vikaspuri ,3 BHK Builder Floor  ,New Delhi
14000,Semi-Furnished,1,2," Arjun Nagar, Safdarjung Enclave ",1 BHK Builder Floor  ,New Delhi
32000,Furnished,2,2, Dwarka Sector 16B ,3 BHK Builder Floor  ,New Delhi
75000,Furnished,4,3," Green View Apartments, Hari Nagar ",5 BHK Apartment  ,New Delhi
23600,Unfurnished,3,3, Chhattarpur Enclave ,3 BHK Builder Floor  ,New Delhi
70000,Semi-Furnished,2,1, Safdarjung Enclave ,2 BHK Builder Floor  ,New Delhi
17000,Furnished,2,2," Om Vihar, Nawada ",3 BHK Apartment  ,New Delhi
20000,Unfurnished,1,1, West Patel Nagar ,2 BHK Apartment  ,New Delhi
21000,Unfurnished,2,1, Pitampura ,3 BHK Builder Floor  ,New Delhi
6500,Unfurnished,1,1, Uttam Nagar ,1 BHK  House  ,New Delhi
22000,Semi-Furnished,2,1," DDA Apna Nivas MIG Flats, Dwarka Sector 1 ",2 BHK Apartment  ,New Delhi
190000,Semi-Furnished,2,1, Safdarjung ,3 BHK Apartment  ,New Delhi
30000,Unfurnished,2,1," Akashdarshan Apartments, Mayur Vihar 1 ",2 BHK Apartment  ,New Delhi
22000,Semi-Furnished,2,1," Triveni Apartment, Vasundhara Enclave ",3 BHK Apartment  ,New Delhi
45000,Furnished,3,1," Sharda Puri, Ramesh Nagar ",3 BHK Builder Floor  ,New Delhi
35000,Semi-Furnished,2,0," DDA MIG Flats, Rajouri Garden ",2 BHK Apartment  ,New Delhi
23000,Semi-Furnished,2,3, Pitampura ,3 BHK Apartment  ,New Delhi
22500,Semi-Furnished,2,0, Shahdara ,3 BHK Builder Floor  ,New Delhi
24000,Furnished,1,1, Rohini Sector 5 ,1 BHK Builder Floor  ,New Delhi
35000,Semi-Furnished,2,0, Vikaspuri ,2 BHK  House  ,New Delhi
23000,Semi-Furnished,2,0, Subhash Nagar ,2 BHK Builder Floor  ,New Delhi
16500,Semi-Furnished,2,1, Indra Enclave ,2 BHK Builder Floor  ,New Delhi
35000,Furnished,2,1, Hari Nagar ,2 BHK Apartment  ,New Delhi
180000,Semi-Furnished,5,2, East Of Kailash ,4 BHK Apartment  ,New Delhi
30000,Semi-Furnished,2,1, Bali Nagar ,3 BHK Builder Floor  ,New Delhi
60000,Furnished,1,1," Patel Nagar East, Patel Nagar ",1 BHK Apartment  ,New Delhi
48000,Semi-Furnished,4,4," Dhirpur, Model Town ",3 BHK Apartment  ,New Delhi
28000,Furnished,1,1, Inderpuri ,2 BHK Builder Floor  ,New Delhi
5000,Unfurnished,1,1, Dwarka Mor ,1 BHK  House  ,New Delhi
11000,Unfurnished,1,1, Tilak Nagar ,1 BHK Builder Floor  ,New Delhi
40000,Semi-Furnished,2,1, Saraswati Vihar ,4 BHK Builder Floor  ,New Delhi
23000,Semi-Furnished,2,2," DLF City Center, Poorvi Shalimar Bagh ",3 BHK  House  ,New Delhi
15000,Furnished,3,1," Green Park RWA, Green Park Extension ",3 BHK Apartment  ,New Delhi
80000,Furnished,3,0, Green Park Extension ,3 BHK Apartment  ,New Delhi
15000,Furnished,2,1," Chaitanya Apartments, Kapashera ",2 BHK Builder Floor  ,New Delhi
8000,Unfurnished,1,1," St Nagar Burari, Burari ",1 BHK Apartment  ,New Delhi
40000,Semi-Furnished,4,3," Durga Pooja Apartment, Dwarka Sector 13 ",3 BHK Apartment  ,New Delhi
38000,Unfurnished,2,2," DDA Mig Flats Sarita Vihar, Sarita Vihar, Mathura Road ",3 BHK Apartment  ,New Delhi
150000,Semi-Furnished,4,3, Safdarjung Enclave ,4 BHK Builder Floor  ,New Delhi
95000,Unfurnished,4,5, New Friends Colony ,4 BHK Builder Floor  ,New Delhi
200000,Unfurnished,5,3," Green Park RWA, Green Park Extension ",4 BHK Apartment  ,New Delhi
45000,Furnished,2,1," South Extension 2, South Ex 2 ",2 BHK Apartment  ,New Delhi
15000,Unfurnished,2,2, Govindpuri Main ,2 BHK Builder Floor  ,New Delhi
70000,Semi-Furnished,3,2," East of Kailash , East Of Kailash ",3 BHK Builder Floor  ,New Delhi
35000,Semi-Furnished,4,0," DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road ",3 BHK Apartment  ,New Delhi
95000,Semi-Furnished,3,2, Greater Kailash 1 ,3 BHK Builder Floor  ,New Delhi
80000,Semi-Furnished,5,5, Delhi State Apartment Sector 19 Dwarka ,5 BHK Apartment  ,New Delhi
35000,Semi-Furnished,3,3," New Jyoti Apartments, Dwarka Sector 4 ",3 BHK Apartment  ,New Delhi
80000,Unfurnished,3,3," Greater Kailash Luxury Homes, Greater Kailash 1 ",3 BHK Builder Floor  ,New Delhi
35000,Furnished,2,1," DDA Freedom Fighter Enclave, Saket ",2 BHK Builder Floor  ,New Delhi
35000,Unfurnished,2,1," DDA Flats Munirka, Munirka ",2 BHK Apartment  ,New Delhi
80000,Semi-Furnished,4,4, Ashok Vihar Phase 2 ,4 BHK Builder Floor  ,New Delhi
37000,Unfurnished,3,1," DDA Freedom Fighter Enclave, Freedom Fighters Enclave ",3 BHK Builder Floor  ,New Delhi
160000,Unfurnished,3,1," Ekta Apartments, Malviya Nagar ",3 BHK Builder Floor  ,New Delhi
35000,Furnished,2,1," DDA Rohini Apartment, Rohini Sector 8 ",2 BHK Apartment  ,New Delhi
12000,Unfurnished,1,1, Chhattarpur ,1 BHK Builder Floor  ,New Delhi
30000,Semi-Furnished,3,2," Satyam Apartment, Dwarka Sector 18A ",2 BHK Apartment  ,New Delhi
250000,Furnished,3,3, Anand Niketan ,3 BHK Apartment  ,New Delhi
35000,Semi-Furnished,2,1, Vasant Kunj ,2 BHK Apartment  ,New Delhi
42000,Semi-Furnished,3,3," Sant Sunder Dass Apartment, Dwarka Sector 12 ",4 BHK Apartment  ,New Delhi
45000,Furnished,3,3, Malviya Nagar ,3 BHK Builder Floor  ,New Delhi
120000,Semi-Furnished,3,3, Greater Kailash 2 ,3 BHK Builder Floor  ,New Delhi
55000,Semi-Furnished,2,1, Neeti Bagh ,2 BHK Apartment  ,New Delhi
90000,Unfurnished,4,2," New Friends Colony Floors, New Friends Colony ",4 BHK Builder Floor  ,New Delhi
24000,Furnished,2,1," Old Rajendra Nagar, Rajinder Nagar ",2 BHK Builder Floor  ,New Delhi
20000,Furnished,2,1, Saket ,2 BHK Builder Floor  ,New Delhi
40000,Semi-Furnished,3,2, Malviya Nagar ,3 BHK Builder Floor  ,New Delhi
180000,Furnished,3,2, Defence Colony ,3 BHK Builder Floor  ,New Delhi
60000,Unfurnished,4,3, Jasola ,4 BHK Builder Floor  ,New Delhi
7500,Semi-Furnished,1,1," DDA Flats Sector 23, Dwarka Sector 23 ",1 BHK Apartment  ,New Delhi
20000,Unfurnished,1,0, Jangpura ,1 BHK Builder Floor  ,New Delhi
120000,Furnished,3,2," Annand Niketan CHS, Anand Niketan Block C ",3 BHK Builder Floor  ,New Delhi
20000,Semi-Furnished,2,1," DDA Pink Apartments, Dwarka Sector 18B ",2 BHK Apartment  ,New Delhi
43000,Semi-Furnished,3,3," IFS Apartments, Mayur Vihar 1 ",3 BHK Apartment  ,New Delhi
240000,Semi-Furnished,5,5," Hauz Khas Enclave, Hauz Khas ",4 BHK Builder Floor  ,New Delhi
32000,Unfurnished,2,2," DDA Flats Pocket F, Sarita Vihar, Mathura Road ",3 BHK Apartment  ,New Delhi
44000,Semi-Furnished,4,5," Skylark Apartment, Dwarka Sector 6 ",3 BHK Apartment  ,New Delhi
350000,Semi-Furnished,5,3, Vasant Vihar ,4 BHK Builder Floor  ,New Delhi
31500,Furnished,2,2," Old Rajendra Nagar, Rajinder Nagar ",2 BHK Builder Floor  ,New Delhi
32000,Unfurnished,3,1, Saket ,3 BHK Builder Floor  ,New Delhi
75000,Furnished,3,2," Rwa GK 1, Greater Kailash 1 ",3 BHK Builder Floor  ,New Delhi
35000,Unfurnished,3,2, Saket ,3 BHK Apartment  ,New Delhi
25000,Semi-Furnished,3,1, Chhatarpur ,3 BHK Apartment  ,New Delhi
28000,Semi-Furnished,2,2," Taj Apartments, Rohini Sector 15 ",3 BHK Apartment  ,New Delhi
42000,Semi-Furnished,2,2, Malviya Nagar ,2 BHK Builder Floor  ,New Delhi
40000,Semi-Furnished,3,1," Neelkanth Apartment, Rohini Sector 13 ",3 BHK Apartment  ,New Delhi
65000,Semi-Furnished,3,2, Kalkaji ,3 BHK Builder Floor  ,New Delhi
10000,Furnished,1,1, West Patel Nagar ,1 BHK Builder Floor  ,New Delhi
12000,Unfurnished,1,1, Mayur Vihar ,2 BHK Builder Floor  ,New Delhi
30000,Semi-Furnished,2,2," Paradise Apartments, Dwarka Sector 9 ",2 BHK Apartment  ,New Delhi
17000,Semi-Furnished,2,2," Rani Bagh, Pitampura ",2 BHK Builder Floor  ,New Delhi
45000,Furnished,2,3," Puri AP Wonder, Rohini Sector 5 ",3 BHK Apartment  ,New Delhi
36000,Semi-Furnished,4,4," Sarve Sanjivani Appartment, Dwarka Sector 9 ",3 BHK Apartment  ,New Delhi
85000,Semi-Furnished,3,3," Uday Park, South Extension ",3 BHK Builder Floor  ,New Delhi
20000,Furnished,2,1, Chattarpur Enclave ,2 BHK Apartment  ,New Delhi
160000,Unfurnished,3,3, Defence Colony ,3 BHK Builder Floor  ,New Delhi
44000,Semi-Furnished,3,2, Punjabi Bagh ,3 BHK  House  ,New Delhi
150000,Unfurnished,4,1," RWA Flats, Saket ",4 BHK Apartment  ,New Delhi
45000,Semi-Furnished,3,1, Pitampura ,3 BHK Builder Floor  ,New Delhi
70000,Semi-Furnished,3,1," Shivalik, Malviya Nagar ",3 BHK Builder Floor  ,New Delhi
