,price,Furnishing,Bathroom,Balcony,bhk,locality,City
60,"55,000",Unfurnished,2.0,0,2 BHK Apartment ," Veena Serenity, Chembur ",Mumbai
61,"70,000",Unfurnished,3.0,0,3 BHK Apartment ," Evershine Tower, Samata Nagar ",Mumbai
62,229999,Unfurnished,2.0,4,2 BHK Apartment , Dadar West ,Mumbai
63,"72,000",Semi-Furnished,3.0,1,3 BHK Apartment ," Runwal Forests, Kanjurmarg West ",Mumbai
64,"41,699",Furnished,1.0,0,1 BHK Apartment , Juhu ,Mumbai
65,900000,Semi-Furnished,5.0,0,4 BHK Apartment ," K Raheja Artesia, Worli ",Mumbai
66,120000,Furnished,3.0,0,3 BHK Apartment ," Tulipia And Tilia Apartment, Chandivali ",Mumbai
67,120000,Semi-Furnished,2.0,2,2 BHK Apartment ," L&T Crescent Bay, Parel ",Mumbai
68,330000,Semi-Furnished,4.0,1,3 BHK Apartment ," Lodha The World Towers, Lower Parel ",Mumbai
69,130000,Semi-Furnished,3.0,2,3 BHK Villa , Atur Park Colony Bungalow ,Mumbai
70,200000,Unfurnished,3.0,1,3 BHK Apartment ," Rustomjee Seasons, Bandra East ",Mumbai
71,250000,Semi-Furnished,4.0,2,3 BHK Apartment ," Lokhandwala Minerva, Mahalakshmi ",Mumbai
72,150000,Furnished,3.0,0,4 BHK Apartment ," Raheja Acropolis, Chembur ",Mumbai
73,"50,000",Semi-Furnished,2.0,0,2 BHK Apartment ," Sheth Montana, Mulund West ",Mumbai
74,170000,Semi-Furnished,3.0,2,3 BHK Apartment ," L&T Crescent Bay, Parel ",Mumbai
75,"75,000",Semi-Furnished,3.0,1,3 BHK Apartment ," diamond garden, Chembur ",Mumbai
76,"70,000",Semi-Furnished,2.0,0,2 BHK Apartment ," Ivory Towers CHS LTD, Bhakti Park ",Mumbai
77,"28,000",Semi-Furnished,1.0,1,1 BHK Apartment ," Gayatri Satsang, Thakur Village, Kandivali East ",Mumbai
78,"99,000",Unfurnished,4.0,4,3 BHK Apartment ," Omkar Alta Monte, Malad East ",Mumbai
79,"76,000",Semi-Furnished,3.0,1,3 BHK Apartment ," Runwal Forests, Kanjurmarg West ",Mumbai
80,"55,000",Semi-Furnished,2.0,0,2 BHK Apartment ," Promenade At The Address, Nityanand Nagar ",Mumbai
81,120000,Semi-Furnished,3.0,0,3 BHK Apartment , Deonar ,Mumbai
82,550000,Furnished,4.0,4,3 BHK Apartment ," Windsor Grande Residences, Andheri West ",Mumbai
83,"85,000",Furnished,3.0,1,3 BHK Apartment ," Lake Primrose, Chandivali ",Mumbai
84,"75,000",Unfurnished,2.0,0,2 BHK Apartment , Patel Nagar ,Mumbai
