,price,Furnishing,Bathroom,Balcony,bhk,locality,City
57,"54,000",Furnished,3,2,3 BHK Builder Floor , Sector 23 ,Gurgaon
58,160000,Semi-Furnished,4,2,4 BHK Apartment ," DLF The Summit, Sector 54 ",Gurgaon
59,260000,Unfurnished,3,6,3 BHK Apartment ," DLF Crest, Sector 54 ",Gurgaon
60,140000,Semi-Furnished,4,2,3 BHK Apartment ," Mahindra Luminare, Sector 59  ",Gurgaon
61,150000,Semi-Furnished,4,3,4 BHK Apartment ," La Lagune , Sector 54 ",Gurgaon
62,"80,000",Unfurnished,3,3,3 BHK Apartment ," Emaar The Palm Drive, Sector 66 ",Gurgaon
63,"76,000",Semi-Furnished,4,2,3 BHK Apartment ," Emaar The Palm Drive, Sector 66 ",Gurgaon
64,180000,Furnished,4,3,4 BHK Apartment ," DLF Park Place Park Towers, Suncity, Sector 54, DLF Golf Course Road ",Gurgaon
65,"33,000",Semi-Furnished,2,3,3 BHK Apartment ," Mahindra Aura, Sector 110A ",Gurgaon
66,200000,Furnished,4,4,4 BHK Apartment ," DLF Blaire, DLF City Phase 5 ",Gurgaon
67,220000,Semi-Furnished,6,5,5 BHK Apartment ," Parsvnath Exotica, Golf Course Road ",Gurgaon
68,"35,000",Semi-Furnished,3,3,3 BHK Apartment ," Shapoorji Pallonji Joyville Gurugram, Sector 102 ",Gurgaon
69,"60,000",Semi-Furnished,4,4,4 BHK Apartment ," Indiabulls Enigma, Sector 110 ",Gurgaon
70,150000,Furnished,3,3,3 BHK Apartment ," M3M Golf Estate, Sector 65 ",Gurgaon
71,270000,Semi-Furnished,4,3,5 BHK Builder Floor ," DLF Phase 1 Arjun Marg, DLF City Phase 1 ",Gurgaon
72,"80,000",Furnished,4,4,4 BHK Apartment , Sector 51 ,Gurgaon
73,"95,000",Semi-Furnished,3,4,3 BHK Apartment ," Emaar Digi Homes, Sector 62 ",Gurgaon
74,130000,Furnished,3,2,3 BHK Apartment ," Ireo The Grand Arch, Ghatta Kanarpur, Sector 58 ",Gurgaon
75,"25,000",Unfurnished,2,2,2 BHK Builder Floor , Sector 21 Pocket C ,Gurgaon
76,229999,Semi-Furnished,4,4,4 BHK Apartment ," M3M Golf Estate, Sector 65 ",Gurgaon
77,160000,Furnished,5,4,4 BHK Apartment ," Pioneer Presidia, Golf course Extension Road ",Gurgaon
78,"60,000",Unfurnished,4,3,3 BHK Apartment , Golf course Extension Road ,Gurgaon
79,"27,000",Semi-Furnished,3,2,2 BHK Apartment ," Shapoorji Pallonji Joyville Gurugram, Sector 102 ",Gurgaon
80,240000,Semi-Furnished,4,4,4 BHK Villa , DLF City Phase 2 ,Gurgaon
81,100000,Semi-Furnished,4,2,4 BHK Builder Floor ," Luxury Floors, DLF City Phase 1 ",Gurgaon
82,"60,000",Furnished,3,3,3 BHK Builder Floor ," RWA Sector 57, Sector 57 ",Gurgaon
83,"50,000",Semi-Furnished,4,2,4 BHK Builder Floor ," Dlf City Phase 4, Sector 28 ",Gurgaon
84,"73,000",Semi-Furnished,3,2,3 BHK Builder Floor ," RWA Builder Floor, DLF City Phase 2 ",Gurgaon
85,"80,000",Semi-Furnished,6,4,4 BHK Apartment ," Puri Diplomatic Greens, Sector 111 ",Gurgaon
86,"27,000",Semi-Furnished,2,3,2 BHK Builder Floor ," Central Park Flower Valley Flamingo Floor, Sohna Sector 32 ",Gurgaon
87,"18,000",Furnished,1,1,Studio Apartment , DLF City Phase 3 ,Gurgaon
88,280000,Furnished,> 10,> 10,> 10 BHKHouse ," South City 1, Sector 41 ",Gurgaon
89,"35,000",Semi-Furnished,3,3,4 BHK Apartment ," Sector 37D, Delhi  Expressway ",Gurgaon
