,price,Furnishing,Bathroom,Balcony,bhk,locality,City
63,"18,000",Unfurnished,2,1,2 BHKHouse ," Own Property, Barrackpore ",Kolkata
64,"11,000",Furnished,2,0,2 BHK Apartment , Bakultala Behala ,Kolkata
65,"10,000",Semi-Furnished,1,0,2 BHK Apartment , Mukundapur ,Kolkata
66,"18,000",Unfurnished,2,1,3 BHK Apartment ," Niva Park Phase 3, Bramhapur ",Kolkata
67,"18,000",Unfurnished,2,1,2 BHK Apartment , Sodepur ,Kolkata
68,"30,000",Furnished,3,1,3 BHK Apartment , Howrah ,Kolkata
69,"10,000",Unfurnished,2,1,2 BHK Apartment , Dum Dum Road ,Kolkata
70,"45,000",Unfurnished,2,1,2 BHK Apartment , Asoka Road ,Kolkata
71,"30,000",Semi-Furnished,3,3,3 BHK Apartment , New Town ,Kolkata
72,"14,000",Furnished,2,1,2 BHK Apartment , Dum Dum Road ,Kolkata
73,"22,000",Furnished,2,1,2 BHK Apartment ," Anupama, Vip Road ",Kolkata
74,"22,200",Unfurnished,2,2,2 BHK Apartment ," Shree Ranjani, Picnic Garden, Tiljala ",Kolkata
75,"22,000",Furnished,2,1,2 BHK Apartment ," Regent Sagar, Vip Road ",Kolkata
76,"15,000",Unfurnished,3,0,3 BHKHouse , Nandi Bagan Haltu ,Kolkata
77,"11,000",Furnished,1,1,1 BHKHouse , Jadavpur ,Kolkata
78,"36,000",Semi-Furnished,2,2,3 BHK Apartment ," Avishikta 2, Eastern Metropolitan Bypass ",Kolkata
79,"15,000",Unfurnished,2,1,3 BHK Apartment ," Greenfield City, Behala Chowrasta ",Kolkata
80,"30,000",Unfurnished,2,1,2 BHK Apartment ," One Rajarhat, Action Area I ",Kolkata
81,"23,000",Semi-Furnished,2,1,2 BHK Apartment ," ECOS, New Town ",Kolkata
82,"42,000",Semi-Furnished,4,1,4 BHK Apartment ," Ideal Aquaview, Sector V Salt Lake City ",Kolkata
83,"25,000",Semi-Furnished,2,2,2 BHK Apartment ," Hiland Park, Eastern Metropolitan Bypass ",Kolkata
84,160000,Unfurnished,3,1,3 BHK Apartment , Park Street ,Kolkata
85,"45,000",Semi-Furnished,3,2,3 BHK Apartment ," TATA Avenida, New Town ",Kolkata
86,"28,000",Unfurnished,2,2,3 BHK Apartment ," Greenwood Sonata, Action Area II ",Kolkata
87,"16,000",Unfurnished,3,2,3 BHK Apartment ," Greenfield City, Behala Chowrasta ",Kolkata
88,"22,000",Semi-Furnished,2,2,2 BHK Apartment , Sector I Salt Lake City ,Kolkata
89,"15,000",Unfurnished,2,1,3 BHK Apartment ," Greenfield City, Shibrampur, Shibrampur Mauza ",Kolkata
90,"13,000",Unfurnished,1,1,2 BHKHouse , Baguiati ,Kolkata
91,"46,000",Furnished,3,3,3 BHK Apartment ," Ambuja Ujjwala The Condoville, New Town ",Kolkata
92,"22,998",Furnished,1,1,2 BHK Apartment ," Ambuja Utalika Efficiency & Comfort, Mukundapur ",Kolkata
93,"16,000",Furnished,1,1,1 BHK Apartment ," Ambuja Udayan, Eastern Metropolitan Bypass ",Kolkata
94,"37,000",Unfurnished,3,2,4 BHK Apartment , Ramgarh Garia ,Kolkata
95,"42,000",Furnished,2,3,2 BHK Apartment ," Rosedale Garden, New Town ",Kolkata
96,"44,000",Semi-Furnished,2,3,3 BHK Apartment ," Calcutta Greens, Ajoy Nagar Santoshpur ",Kolkata
97,"12,500",Unfurnished,2,1,2 BHK Apartment , Rabindrapally Kestopur ,Kolkata
98,"50,000",Semi-Furnished,4,2,4 BHK Apartment ," New Town Residency, Action Area 1A ",Kolkata
99,"25,500",Furnished,2,1,3 BHK Apartment ," Shapoorji Pallonji Housing Complex, Action Area III ",Kolkata
100,"16,500",Unfurnished,1,1,2 BHK Apartment , South Purbachal ,Kolkata
101,"36,000",Furnished,2,2,3 BHK Apartment ," Tata Eden Court, Action Area II ",Kolkata
102,"42,000",Unfurnished,3,2,3 BHK Apartment ," Avidipta, Eastern Metropolitan Bypass ",Kolkata
103,"15,000",Unfurnished,2,1,2 BHK Apartment , Behala ,Kolkata
104,"22,000",Furnished,2,1,3 BHK Apartment , Modern Park Santoshpur ,Kolkata
105,"10,900",Unfurnished,2,2,2 BHK Apartment ," Eco Park, New Town ",Kolkata
106,"6,000",Unfurnished,2,1,2 BHK Apartment , Bansdroni ,Kolkata
107,"21,000",Unfurnished,2,1,2 BHK Apartment ," Acropolis Mall, Rajdanga ",Kolkata
108,"35,000",Semi-Furnished,2,2,2 BHK Apartment ," Avidipta, Eastern Metropolitan Bypass ",Kolkata
109,"25,000",Unfurnished,2,1,3 BHK Apartment , Kasba ,Kolkata
110,100000,Unfurnished,6,3,5 BHK Villa , Salt Lake City ,Kolkata
111,"15,500",Unfurnished,2,1,2 BHK Apartment , Action Area III ,Kolkata
112,"25,000",Unfurnished,2,1,3 BHK Apartment ," Siddha Eden Lakeville, Barrackpore Trunk Road ",Kolkata
113,"20,000",Unfurnished,3,2,3 BHK Apartment ," Siddha Happyville, Rajarhat ",Kolkata
114,"6,300",Unfurnished,1,0,1 BHK Apartment ," Kalindi Housing, Lake Town ",Kolkata
115,"25,000",Furnished,2,1,3 BHK Apartment ," Greenfield City, Behala Chowrasta ",Kolkata
116,"16,000",Unfurnished,2,1,2 BHK Builder Floor , Survey Park ,Kolkata
117,"20,000",Unfurnished,1,1,1 BHK Apartment ," Ballygunge Place, Ballygunge ",Kolkata
118,"12,000",Unfurnished,2,1,2 BHK Apartment , Kaikhali ,Kolkata
119,"18,000",Semi-Furnished,2,1,3 BHK Apartment ," Shapoorji Pallonji Housing Complex, Action Area III ",Kolkata
120,"60,000",Semi-Furnished,3,2,3 BHK Apartment ," One Rajarhat, Action Area III ",Kolkata
121,"40,000",Unfurnished,2,1,2 BHK Apartment , Southern Avenue ,Kolkata
122,"48,000",Semi-Furnished,3,1,3 BHK Apartment ," Avidipta, Eastern Metropolitan Bypass ",Kolkata
123,"50,000",Semi-Furnished,3,2,3 BHK Villa ," Bengal DCL Rabirashmi, Rajarhat ",Kolkata
124,"12,000",Semi-Furnished,2,1,2 BHK Apartment ," Tirath Residency, Rajarhat ",Kolkata
125,"55,000",Unfurnished,4,2,4 BHK Apartment ," Bengal DCL Sampoorna, Action Area II ",Kolkata
126,"25,000",Semi-Furnished,3,1,3 BHK Apartment ," Ideal Enclave, Rajarhat ",Kolkata
127,"10,000",Unfurnished,2,1,2 BHK Apartment , Rajarhat ,Kolkata
128,"18,000",Unfurnished,2,1,3 BHK Apartment ," Sapphire Blue, Chinar Park, Rajarhat ",Kolkata
129,"26,000",Unfurnished,2,2,2 BHK Apartment ," Mani Casa, New Town ",Kolkata
130,"80,000",Unfurnished,3,1,3 BHK Apartment ," Urbana, Eastern Metropolitan Bypass ",Kolkata
131,"35,000",Semi-Furnished,3,2,3 BHK Apartment ," Ekta Floral, Park Circus, Ballygunge ",Kolkata
132,"25,000",Semi-Furnished,2,1,2 BHK Apartment , Action Area II ,Kolkata
133,"13,000",Furnished,1,1,1 BHK Apartment ," Shapoorji Paloonji Sukhobristi, Action Area III ",Kolkata
134,"25,000",Unfurnished,2,2,2 BHK Apartment ," Mani Casa, Action Area IIE ",Kolkata
135,"27,000",Unfurnished,2,1,3 BHK Apartment ," Dhoot Pratham, Barrackpore Trunk Road ",Kolkata
136,"45,000",Unfurnished,3,0,2 BHK Apartment , windsor court alipor ,Kolkata
137,"13,500",Furnished,2,0,1 BHKHouse , Bapuji Nagar ,Kolkata
138,"9,000",Semi-Furnished,2,1,2 BHK Apartment , Jadavpur ,Kolkata
139,"16,000",Unfurnished,2,1,3 BHK Apartment ," Sabuj Swapno, Chandannagar, Hooghly-Chinsurah ",Kolkata
140,"20,000",Furnished,2,1,2 BHK Apartment ," Siddha Pines, Rajarhat Main Road ",Kolkata
141,"7,000",Unfurnished,1,1,2 BHKHouse , Krishnapur Kestopur ,Kolkata
142,"45,000",Semi-Furnished,2,1,2 BHKHouse , New Alipore ,Kolkata
143,"20,000",Furnished,2,2,2 BHK Apartment ," Aprajita Houseing Society, Kalindi Housing Estate ",Kolkata
144,"7,500",Unfurnished,1,1,Studio Apartment , Mukundapur ,Kolkata
145,"32,000",Furnished,2,1,2 BHK Apartment ," Greenfield Elegance, New Town ",Kolkata
146,"22,000",Semi-Furnished,2,1,2 BHK Apartment ," NBCC Vibgyor Towers, Action Area I ",Kolkata
147,"8,200",Unfurnished,1,0,2 BHKHouse , Thakurpukur ,Kolkata
148,"28,000",Furnished,2,2,2 BHK Apartment ," Shrachi Greenwood Elements, Rajarhat ",Kolkata
149,"14,000",Semi-Furnished,2,2,3 BHK Apartment ," Chandannagar, Hooghly-Chinsurah ",Kolkata
150,"14,000",Semi-Furnished,2,1,2 BHK Apartment , Baranagar ,Kolkata
151,"20,000",Unfurnished,2,3,2 BHKHouse ," Amulya Apartment, Chetla ",Kolkata
152,"16,000",Unfurnished,1,1,2 BHK Apartment , Survey Park ,Kolkata
153,"10,500",Semi-Furnished,1,1,2 BHKHouse ," Alambazar, Airadaha ",Kolkata
154,"50,000",Semi-Furnished,3,2,3 BHK Apartment ," Megh Mani, Eastern Metropolitan Bypass ",Kolkata
155,"25,000",Furnished,2,1,2 BHK Apartment ," Ganguly Bagan, Beliaghata ",Kolkata
156,"18,000",Unfurnished,2,1,2 BHK Apartment , Mahish Bathan Dhapa ,Kolkata
157,"20,000",Semi-Furnished,2,2,3 BHK Apartment ," Sugam Sabuj, Netaji Subhash Chandra Bose Road ",Kolkata
158,"14,781",Unfurnished,2,0,3 BHK Apartment ," Siddha Town, Madhyamgram ",Kolkata
159,"20,000",Unfurnished,2,1,3 BHK Apartment ," SGIL Residenzza, Belghoria ",Kolkata
160,"13,000",Unfurnished,2,1,2 BHKHouse , Paschim Putiary ,Kolkata
161,"25,000",Furnished,2,1,2 BHK Apartment ," Shatabdi Apartment , Nayabad ",Kolkata
162,"10,000",Semi-Furnished,2,0,2 BHKHouse , Baguiati ,Kolkata
163,"20,000",Semi-Furnished,2,0,3 BHK Apartment ," Symphony Towers, Behala Chowrasta ",Kolkata
164,"22,000",Unfurnished,2,1,3 BHK Apartment ," Orchard County, Barrackpore Trunk Road ",Kolkata
165,"23,000",Unfurnished,2,1,2 BHK Apartment ," Avani Estate, Jadavpur ",Kolkata
166,"8,000",Unfurnished,2,1,2 BHKHouse , Ranaghat ,Kolkata
167,"40,000",Unfurnished,2,1,3 BHK Apartment ," PS  Amistad, Action Area II ",Kolkata
168,"8,000",Unfurnished,1,0,1 BHKHouse ," nabadarsha cooperative socirty, Birati ",Kolkata
169,"18,000",Unfurnished,2,0,3 BHK Apartment , Belgachia ,Kolkata
170,"20,000",Semi-Furnished,1,2,2 BHK Apartment , Vip Road ,Kolkata
171,"40,000",Furnished,3,0,3 BHKHouse , Lake Gardens ,Kolkata
172,"5,000",Unfurnished,1,1,1 BHKHouse , Hati Bagan ,Kolkata
173,"20,000",Unfurnished,1,0,2 BHK Apartment , Chetla ,Kolkata
174,"10,000",Unfurnished,2,1,2 BHK Apartment ," Sugam Park, Narendrapur ",Kolkata
175,"32,000",Furnished,2,0,2 BHK Builder Floor , New Town ,Kolkata
176,"50,000",Semi-Furnished,2,1,3 BHK Villa ," Merlin Greens, Kriparampur ",Kolkata
177,"15,000",Furnished,2,1,2 BHK Apartment ," Haridevpur, Paschim Putiary ",Kolkata
178,"7,000",Unfurnished,1,1,2 BHKHouse ," Ichapur Bidhanpally, Ichapur ",Kolkata
179,"26,000",Unfurnished,2,1,4 BHKHouse , Beleghata ,Kolkata
180,"25,000",Semi-Furnished,2,1,2 BHK Apartment , Shrirampur ,Kolkata
181,"16,500",Semi-Furnished,2,2,2 BHK Apartment , Sinthee ,Kolkata
182,"20,000",Furnished,2,1,2 BHK Apartment ," GM Meena Paradise, Kaikhali ",Kolkata
183,"14,000",Furnished,2,1,2 BHKHouse , Behala ,Kolkata
184,"10,000",Unfurnished,1,0,2 BHK Builder Floor ," Regent Estate, Bijoygarh ",Kolkata
185,"18,000",Semi-Furnished,2,1,3 BHK Apartment ," Siddha Suburbia, Netaji Subhash Chandra Bose Road ",Kolkata
186,"13,000",Semi-Furnished,2,1,2 BHKHouse ," Ganguly Bagan, Beliaghata ",Kolkata
187,200000,Furnished,4,2,4 BHK Apartment , Park Street ,Kolkata
188,"40,000",Furnished,2,1,3 BHK Apartment ," Mohan Towers, Beleghata ",Kolkata
189,"15,000",Unfurnished,2,1,2 BHK Apartment ," Anupama Housing Complex, Vip Road ",Kolkata
190,"14,000",Unfurnished,2,0,2 BHK Apartment ," Biswas Deb Icon, Nayabad ",Kolkata
191,"17,000",Furnished,2,2,2 BHK Apartment , Howrah ,Kolkata
192,"14,000",Unfurnished,2,2,2 BHKHouse , Bramhapur ,Kolkata
193,"9,000",Semi-Furnished,2,0,2 BHK Builder Floor , Dum Dum ,Kolkata
194,"19,200",Unfurnished,2,2,3 BHK Apartment ," Eden Pavilion, Garia ",Kolkata
195,"16,000",Unfurnished,2,0,3 BHK Apartment , Liluah ,Kolkata
196,"20,000",Furnished,2,2,3 BHK Apartment ," Genexx Valley, Joka ",Kolkata
197,"10,000",Unfurnished,1,1,1 BHKHouse , Ananda Pally Jadavpur ,Kolkata
198,"80,000",Furnished,3,2,3 BHK Apartment , Ballygunge Circular Road ,Kolkata
199,"8,500",Semi-Furnished,1,1,2 BHK Builder Floor , Airport Area ,Kolkata
200,"26,000",Furnished,3,2,4 BHK Apartment ," Saltee Splendora, Rajarhat ",Kolkata
201,"30,000",Furnished,3,6,5 BHKHouse ," Amtala, Diamond Harbour Road ",Kolkata
202,"55,000",Furnished,2,1,3 BHKHouse , Salt Lake City ,Kolkata
203,"17,000",Unfurnished,2,1,2 BHK Apartment ," Citadel Shyamali Apartment, Barasat ",Kolkata
204,"5,000",Semi-Furnished,1,0,1 BHK Apartment ," Kudghat, Ashok Nagar ",Kolkata
205,"10,000",Unfurnished,2,1,2 BHK Builder Floor ," Sarada Palli, Nimta ",Kolkata
206,"75,000",Furnished,4,4,4 BHK Apartment ," Bengal DCL Sampoorna, Action Area II ",Kolkata
207,"22,500",Furnished,2,1,3 BHK Apartment ," Sankalpa IV, Rajarhat ",Kolkata
208,"18,500",Unfurnished,2,1,3 BHK Apartment ," Suvenior Heights, Vip Road ",Kolkata
209,"30,000",Unfurnished,3,2,3 BHK Apartment ," Unimark Riviera, Uttarpara Chinsurah ",Kolkata
210,"12,000",Unfurnished,1,1,2 BHK Apartment ," Manzil Apartment, Garia ",Kolkata
211,"15,000",Unfurnished,2,0,3 BHK Apartment , Action Area I ,Kolkata
212,"9,000",Unfurnished,2,1,2 BHK Apartment , Santoshpur ,Kolkata
213,"7,000",Unfurnished,1,0,Studio Apartment ," Picnic Garden, Tiljala ",Kolkata
214,"35,000",Furnished,2,2,3 BHK Apartment ," Hiland Woods, Rajarhat ",Kolkata
215,"55,000",Furnished,2,1,2 BHK Apartment ," Chakraberia, Ballygunge ",Kolkata
216,"15,000",Unfurnished,2,2,3 BHK Apartment ," Susar Kanan, Jessore Road ",Kolkata
217,"12,000",Furnished,1,0,1 BHK Builder Floor , Dhakuria ,Kolkata
218,"12,700",Furnished,2,1,2 BHK Apartment ," Gangotri Pratistha, Rajarhat Main Road ",Kolkata
219,"11,000",Unfurnished,1,1,2 BHK Apartment , Jessore Road ,Kolkata
220,"12,500",Unfurnished,2,0,2 BHK Builder Floor , Bandel Chinsurah ,Kolkata
221,"25,000",Semi-Furnished,2,1,3 BHK Apartment , Italgacha ,Kolkata
222,"30,000",Semi-Furnished,2,3,3 BHK Apartment ," DC Paul Salboni, Milk Colony ",Kolkata
223,"25,000",Furnished,2,0,2 BHK Apartment ," Unimark Riviera, Uttarpara Chinsurah ",Kolkata
224,"14,000",Semi-Furnished,2,1,2 BHK Apartment , Atghara Newtown ,Kolkata
225,"25,000",Furnished,2,1,2 BHK Apartment ," Maestro, Topsia ",Kolkata
226,"13,000",Unfurnished,2,1,3 BHK Apartment ," SwanGreen, Thakurpukur ",Kolkata
227,"25,000",Unfurnished,2,2,3 BHKHouse ," Purbalok, Mukundapur ",Kolkata
228,"18,000",Unfurnished,2,0,2 BHK Apartment ," PS The 102 , Joka ",Kolkata
229,"30,000",Furnished,2,0,2 BHK Builder Floor , Tollygunge ,Kolkata
230,"25,000",Semi-Furnished,2,1,3 BHK Builder Floor , Kalikapur Haltu ,Kolkata
231,"30,000",Unfurnished,2,2,5 BHK Villa , Madhyamgram ,Kolkata
232,"7,000",Unfurnished,1,0,1 BHKHouse ," Maa Bansdroni Park, Bansdroni ",Kolkata
233,"8,300",Unfurnished,1,2,2 BHKHouse , Nandan Kanan Santoshpur ,Kolkata
234,"28,000",Unfurnished,3,2,3 BHK Apartment ," Hiland Lake Town, Batanagar ",Kolkata
235,"22,000",Unfurnished,1,0,3 BHK Builder Floor , Regent Park ,Kolkata
236,"17,500",Unfurnished,2,1,3 BHK Apartment ," Bengal Peerless Anupama Housing Complex, Vip Road ",Kolkata
237,"22,000",Unfurnished,2,2,2 BHK Apartment ," Genexx Valley, Joka ",Kolkata
238,"10,000",Semi-Furnished,2,1,2 BHKHouse , Sodepur ,Kolkata
239,"55,000",Unfurnished,3,0,3 BHK Apartment , Keyatala ,Kolkata
240,"90,000",Semi-Furnished,3,1,3 BHK Apartment , Panditiya Road ,Kolkata
241,"20,000",Semi-Furnished,2,2,4 BHKHouse , Baguiati ,Kolkata
242,"13,000",Unfurnished,2,1,2 BHK Apartment ," Bhawani Lakeview, Birati ",Kolkata
243,"20,000",Semi-Furnished,2,1,3 BHK Apartment ," Green Heights, Rajarhat ",Kolkata
244,"20,000",Unfurnished,2,1,3 BHK Apartment ," Rajat Avante, Joka ",Kolkata
245,"15,000",Unfurnished,1,0,1 BHKHouse , Behala ,Kolkata
246,"15,000",Unfurnished,2,2,3 BHK Apartment ," Kabya, Rajarhat ",Kolkata
247,"35,000",Unfurnished,3,2,4 BHK Apartment ," Signum Windmere Apartments , Madhyamgram ",Kolkata
248,"38,000",Semi-Furnished,2,1,2 BHK Apartment ," Merlin 5th Avenue, Sector V Salt Lake City ",Kolkata
249,"75,000",Semi-Furnished,3,1,3 BHK Apartment ," Urbana NRI Complex, Anandapur ",Kolkata
250,"22,000",Semi-Furnished,2,2,3 BHK Apartment ," The Banyan Tree Sunland Residency, Rajarhat ",Kolkata
251,"25,000",Unfurnished,2,1,3 BHK Apartment ," Shapoorji Pallonji Housing Complex, Action Area III ",Kolkata
252,"33,000",Unfurnished,3,1,4 BHK Apartment ," The Soul, Rajarhat ",Kolkata
253,"10,000",Unfurnished,2,1,2 BHK Apartment , Ariadaha ,Kolkata
254,"20,000",Furnished,1,1,2 BHK Apartment ," Joyville Howrah, Howrah ",Kolkata
255,"12,000",Unfurnished,1,1,1 BHK Apartment ," Shapoorji Joyville Howrah Tower A1 Pinnacle, Howrah ",Kolkata
256,"20,000",Unfurnished,2,2,2 BHK Apartment ," Shrachi Greenwood Nest, New Town ",Kolkata
257,"12,200",Unfurnished,2,1,2 BHK Apartment ," Green Chinar, Chinar Park, Rajarhat ",Kolkata
258,"70,000",Semi-Furnished,4,2,4 BHK Apartment ," One Rajarhat, New Town ",Kolkata
259,100000,Unfurnished,3,3,3 BHK Apartment , Alipore ,Kolkata
260,"17,500",Semi-Furnished,2,2,3 BHK Apartment ," Anand Vihar, Nagerbazar ",Kolkata
261,"23,000",Unfurnished,2,1,2 BHK Apartment ," DLF New Town Heights, Rajarhat ",Kolkata
262,110000,Semi-Furnished,3,0,3 BHK Apartment ," Urbana, Eastern Metropolitan Bypass ",Kolkata
263,"11,500",Unfurnished,2,1,2 BHK Apartment ," Airport City I, Jessore Road ",Kolkata
264,"15,000",Unfurnished,2,1,3 BHK Apartment ," Asian Habitat 64, Howrah ",Kolkata
265,"45,000",Semi-Furnished,2,0,2 BHK Apartment , Ballygunge ,Kolkata
266,"2,500",Semi-Furnished,2,1,4 BHK Builder Floor , Behala Chowrasta ,Kolkata
267,"24,000",Semi-Furnished,2,1,3 BHK Apartment , New Town ,Kolkata
268,"14,000",Unfurnished,2,1,2 BHK Apartment ," Sukalyani Housing Complex, Manicktala Machuabazar ",Kolkata
269,"80,000",Furnished,3,1,3 BHK Apartment , Ballygunge ,Kolkata
270,"25,000",Semi-Furnished,2,1,3 BHK Apartment , New Town ,Kolkata
271,"50,000",Furnished,3,1,3 BHK Apartment , Phool Bagan Kankurgachi ,Kolkata
272,"22,000",Unfurnished,3,3,3 BHK Apartment ," Anahita, New Town ",Kolkata
273,"13,000",Unfurnished,2,1,2 BHK Apartment , Patuli ,Kolkata
274,"13,000",Unfurnished,2,1,2 BHK Apartment , Mukundapur ,Kolkata
275,"11,000",Unfurnished,1,1,1 BHK Apartment ," Bengal Peerless Animikha, Rajarhat ",Kolkata
276,"26,000",Semi-Furnished,2,1,3 BHK Apartment ," Tata Eden Court, New Town ",Kolkata
277,"30,000",Semi-Furnished,2,2,3 BHK Apartment ," Elita Garden Vista, New Town ",Kolkata
278,"8,000",Unfurnished,1,1,2 BHKHouse , Kestopur ,Kolkata
279,"13,500",Unfurnished,2,1,3 BHK Apartment , Behala Chowrasta ,Kolkata
280,"32,000",Furnished,2,1,3 BHK Apartment , Parnasree Palli ,Kolkata
281,"10,000",Unfurnished,2,1,2 BHK Apartment , Bansdroni ,Kolkata
282,"10,000",Unfurnished,2,1,2 BHK Apartment ," Kamalgazi, Narendrapur ",Kolkata
